hotel name --- Vamoose Salakha, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Salakha, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- New Mandala (Mahalsha Spa & Resort), key -- paymenttype, error -- list index out of range 
hotel name --- New Mandala (Mahalsha Spa & Resort), key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Rongong Farms - A unit of Dream stay Group of Hotels, key -- paymenttype, error -- list index out of range 
hotel name --- Mountain View Home Stay by StayApart, key -- cancelType, error -- list index out of range 
hotel name --- Mountain View Home Stay by StayApart, key -- paymenttype, error -- list index out of range 
hotel name --- Mountain View Home Stay by StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sandeep Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Sandeep Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Mountain Paradise Homestay By StayApart, key -- cancelType, error -- list index out of range 
hotel name --- Mountain Paradise Homestay By StayApart, key -- paymenttype, error -- list index out of range 
hotel name --- Mountain Paradise Homestay By StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- SNUG Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Orion Retreat, key -- paymenttype, error -- list index out of range 
hotel name --- DP Homestaayz By StayApart, key -- cancelType, error -- list index out of range 
hotel name --- DP Homestaayz By StayApart, key -- paymenttype, error -- list index out of range 
hotel name --- DP Homestaayz By StayApart, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Dikis, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Dikis, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Poomong, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose Poomong, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Poomong, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Tamanna Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- bnb, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose D'souza, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose D'souza, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose D'souza, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Homestay 38 sittong-3, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Trio Paradise Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Trio Paradise Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- SUMNIMA HOMESTAYS, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Himalayan Santi 2, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Samjhana Farmhouse restaurant & caffe, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Ratna Homestay & Restaurant, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Burdwan Palace - A journey into Timeless Legacy, Darjeeling, key -- cancelType, error -- list index out of range 
hotel name --- Burdwan Palace - A journey into Timeless Legacy, Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Burdwan Palace - A journey into Timeless Legacy, Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Khaling Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- StayApart - Chiabari Homestay, key -- cancelType, error -- list index out of range 
hotel name --- StayApart - Chiabari Homestay, key -- paymenttype, error -- list index out of range 
